475.0,0.09062
470.0,0.10191
460.0,0.12547
450.0,0.14985
440.0,0.17464
430.0,0.19961
420.0,0.22463
410.0,0.24963
400.0,0.27456
390.0,0.29941
380.0,0.32416
370.0,0.34881
360.0,0.37337
350.0,0.39783
340.0,0.42221
330.0,0.44647
320.0,0.47069
310.0,0.49484
305.0,0.50688
300.0,0.51892
290.0,0.54294
280.0,0.56690
273.15,0.58327
270.0,0.59080
260.0,0.61465
250.0,0.63841
240.0,0.66208
230.0,0.68564
220.0,0.70908
210.0,0.73238
200.0,0.75554
190.0,0.77855
180.0,0.80138
170.0,0.82404
160.0,0.84650
150.0,0.86873
140.0,0.89072
130.0,0.91243
120.0,0.93383
110.0,0.95487
100.0,0.97550
95.0,0.98564
90.0,0.99565
85.0,1.00552
80.0,1.01525
77.35,1.02032
75.0,1.02482
70.0,1.03425
65.0,1.04353
60.0,1.05267
58.0,1.05629
56.0,1.05988
54.0,1.06346
52.0,1.06700
50.0,1.07053
48.0,1.07402
46.0,1.07748
44.0,1.08093
42.0,1.08436
40.0,1.08781
38.0,1.09131
36.0,1.09490
34.0,1.09864
32.0,1.10263
30.0,1.10702
29.0,1.10945
28.0,1.11212
27.0,1.11517
26.0,1.11896
25.0,1.12463
24.0,1.13598
23.0,1.15558
22.0,1.17705
21.0,1.19645
20.0,1.21440
19.5,1.22314
19.0,1.23184
18.5,1.24053
18.0,1.24928
17.5,1.25810
17.0,1.26702
16.5,1.27607
16.0,1.28527
15.5,1.29464
15.0,1.30422
14.5,1.31403
14.0,1.32412
13.5,1.33453
13.0,1.34530
12.5,1.35647
12.0,1.36809
11.5,1.38021
11.0,1.39287
10.5,1.40615
10.0,1.42013
9.50,1.43488
9.00,1.45048
8.50,1.46700
8.00,1.48443
7.50,1.50272
7.00,1.52166
6.50,1.54097
6.00,1.56027
5.50,1.57928
5.00,1.59782
4.80,1.60506
4.60,1.61220
4.40,1.61920
4.20,1.62602
4.00,1.63263
3.80,1.63905
3.60,1.64529
3.40,1.65134
3.20,1.65721
3.00,1.66292
2.80,1.66845
2.60,1.67376
2.40,1.67880
2.20,1.68352
2.00,1.68786
1.80,1.69177
1.60,1.69521
1.40,1.69812
